SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,PPOPCHG_2016,PPOPCHG_2017,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_POPEST2015,NRANK_POPEST2016,NRANK_POPEST2017,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_NPCHG2015,NRANK_NPCHG2016,NRANK_NPCHG2017,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014,NRANK_PPCHG2015,NRANK_PPCHG2016,NRANK_PPCHG2017
010,0,0,00,United States,308758105,309338421,311644280,313993272,316234505,318622525,321039839,323405935,325719178,580316,2305859,2348992,2241233,2388020,2417314,2366096,2313243,0.1879516653,0.745416296,0.7537414131,0.7137837654,0.7551421373,0.7586764307,0.737010088,0.7152753706,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
020,1,0,00,Northeast Region,55318350,55388349,55642659,55860261,56047732,56203078,56296628,56359360,56470581,69999,254310,217602,187471,155346,93550,62732,111221,0.1265384814,0.4591398816,0.3910704555,0.3356070964,0.2771673259,0.1664499585,0.1114311855,0.1973425532,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4
020,2,0,00,Midwest Region,66929794,66973360,67141501,67318295,67534451,67720120,67839187,67978168,68179351,43566,168141,176794,216156,185669,119067,138981,201183,0.0650920874,0.2510565395,0.2633155312,0.3210954763,0.2749248676,0.1758221929,0.204868316,0.2959523711,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3
020,3,0,00,South Region,114563024,114869241,116060993,117291728,118422269,119699966,121081238,122423457,123658624,306217,1191752,1230735,1130541,1277697,1381272,1342219,1235167,0.2672913033,1.0374857443,1.0604208772,0.9638710413,1.078933051,1.1539451899,1.1085276482,1.0089300125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020,4,0,00,West Region,71946937,72107471,72799127,73522988,74230053,74999361,75822786,76644950,77410622,160534,691656,723861,707065,769308,823425,822164,765672,0.2231283314,0.9592015784,0.9943264842,0.9616924165,1.0363834713,1.0979093542,1.0843231215,0.9989855822,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
040,3,6,01,Alabama,4780135,4785579,4798649,4813946,4827660,4840037,4850858,4860545,4874747,5444,13070,15297,13714,12377,10821,9687,14202,0.1138879969,0.2731121981,0.3187772225,0.2848806364,0.2563767954,0.223572671,0.199696631,0.2921894561,23,23,23,23,23,23,24,24,24,28,33,27,32,31,32,34,29,34,39,36,36,36,35,35,34
040,4,9,02,Alaska,710249,714015,722259,730825,736760,736759,737979,741522,739795,3766,8244,8566,5935,-1,1220,3543,-1727,0.530236579,1.1545975925,1.1860011436,0.812095919,-0.000135729,0.1655901048,0.4800949621,-0.232899361,47,47,47,47,47,48,48,48,48,31,39,41,42,46,42,38,47,2,7,10,21,46,38,22,48
040,4,8,04,Arizona,6392309,6407002,6465488,6544211,6616124,6706435,6802262,6908642,7016270,14693,58486,78723,71913,90311,95827,106380,107628,0.2298543453,0.9128450405,1.2175879067,1.0988796052,1.365013715,1.4288813654,1.5638915408,1.5578749051,16,16,16,15,15,15,14,14,14,11,10,8,9,6,8,7,7,17,15,9,9,7,9,10,6
040,3,7,05,Arkansas,2916031,2921737,2938640,2949208,2956780,2964800,2975626,2988231,3004279,5706,16903,10568,7572,8020,10826,12605,16048,0.1956769321,0.5785257195,0.3596221381,0.2567468961,0.2712410122,0.3651511063,0.4236083433,0.5370401418,32,32,32,32,32,32,33,32,32,27,25,36,41,37,31,30,27,26,30,33,39,34,30,25,23
040,4,9,06,California,37254518,37327690,37672654,38019006,38347383,38701278,39032444,39296476,39536653,73172,344964,346352,328377,353895,331166,264032,240177,0.1964110769,0.9241504095,0.9193724445,0.8637180046,0.9228661054,0.8556978403,0.6764423975,0.6111922097,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,25,14,19,19,16,16,20,21
